run, type, time, cluster, distance.mean, distance.sd, count
1, skm, 5.217000, 155, 4.819254, 1.709655, 3
1, skm, 5.217000, 156, 0.108682, 0.000000, 2
1, skm, 5.217000, 157, 2.233028, 0.000000, 2
1, skm, 5.217000, 158, 0.000000, 0.000000, 1
1, skm, 5.217000, 159, 0.848661, 0.072328, 475
1, skm, 5.217000, 160, 0.619022, 0.053226, 655
2, km, 155.480000, 0, 6.493550, 4.137285, 530
2, km, 155.480000, 1, 0.705850, 0.124934, 1375
2, km, 155.480000, 2, 0.768233, 0.418045, 1439
2, km, 155.480000, 3, 0.689229, 0.233345, 1864
2, km, 155.480000, 4, 0.725374, 0.113840, 1262
2, km, 155.480000, 5, 104.806188, 83.662064, 19
2, km, 155.480000, 6, 0.753898, 0.114641, 1176
2, km, 155.480000, 7, 14.297924, 9.891530, 307
2, km, 155.480000, 8, 1.179180, 0.296654, 886
2, km, 155.480000, 9, 0.860089, 0.136975, 993
2, km, 155.480000, 10, 3.215201, 1.762313, 766
2, km, 155.480000, 11, 0.685430, 0.182005, 1795
2, km, 155.480000, 12, 30.390605, 22.409224, 123
2, km, 155.480000, 13, 0.806339, 0.120888, 1103
2, km, 155.480000, 14, 61.746648, 40.476108, 51
2, km, 155.480000, 15, 1.440644, 0.462619, 843
2, km, 155.480000, 16, 1.997631, 0.834413, 770
2, km, 155.480000, 17, 1.022400, 0.208634, 899
2, km, 155.480000, 18, 0.932566, 0.165504, 1013
2, km, 155.480000, 19, 0.685026, 0.148426, 1614
2, bkm, 47.089000, 0, 18.928829, 5.506833, 5
2, bkm, 47.089000, 1, 1.448775, 0.807613, 4426
2, bkm, 47.089000, 2, 7.004697, 3.672788, 221
2, bkm, 47.089000, 3, 19.010973, 10.795944, 16
2, bkm, 47.089000, 4, 3.905525, 1.969897, 892
2, bkm, 47.089000, 5, 17.795074, 9.978546, 10
2, bkm, 47.089000, 6, 1.871985, 0.834936, 957
2, bkm, 47.089000, 7, 1.820693, 0.758003, 2408
2, bkm, 47.089000, 8, 1.413492, 0.626065, 4660
2, bkm, 47.089000, 9, 14.841504, 7.564636, 48
2, bkm, 47.089000, 10, 54.176073, 75.334518, 5
2, bkm, 47.089000, 11, 11.018815, 5.860333, 60
2, bkm, 47.089000, 12, 2.812051, 1.685736, 905
2, bkm, 47.089000, 13, 20.927268, 10.086912, 25
2, bkm, 47.089000, 14, 8.782833, 5.171253, 120
2, bkm, 47.089000, 15, 5.123499, 2.446484, 372
2, bkm, 47.089000, 16, 1.552752, 0.655321, 3675
2, bkm, 47.089000, 17, 9.626919, 2.837293, 5
2, bkm, 47.089000, 18, 13.166001, 7.410667, 4
2, bkm, 47.089000, 19, 15.965061, 8.374844, 14
2, skm, 6.338000, 0, 0.362415, 0.134230, 107
2, skm, 6.338000, 1, 0.511294, 0.203138, 486
2, skm, 6.338000, 2, 0.506858, 0.155583, 897
2, skm, 6.338000, 3, 0.524675, 0.042922, 288
