run,type,time,cluster,distance.mean,distance.sd,distance.q0,distance.q1,distance.q2,distance.q3,distance.q4,count
0,skm,5.885000,116,3.252912,1.109729,1.903000,2.459030,2.779878,4.119431,5.478055,16
0,skm,5.885000,117,3.314836,1.079956,1.997387,2.687884,2.995929,3.939216,5.513612,14
0,skm,5.885000,118,2.388177,0.337229,1.881408,2.144880,2.403729,2.706773,2.773813,6
0,skm,5.885000,119,3.086375,0.439106,2.110073,3.034634,3.200450,3.329168,3.566496,7
0,skm,5.885000,120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,121,2.965419,0.752801,2.041592,2.592983,2.875589,3.104167,5.027933,11
0,skm,5.885000,122,3.284706,0.882202,2.209695,2.557595,3.137053,3.794384,5.146915,14
0,skm,5.885000,123,3.569275,0.797161,2.452633,2.790690,3.631079,4.399940,4.663699,9
0,skm,5.885000,124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,126,3.926792,0.871682,2.755272,3.270475,3.976098,4.537740,5.139743,7
0,skm,5.885000,127,3.250647,1.881223,0.000000,3.092077,4.280324,4.438894,4.441939,4
0,skm,5.885000,128,3.955128,0.853935,2.895401,3.402612,3.833187,4.216133,5.566122,6
0,skm,5.885000,129,2.241876,2.241876,0.000000,1.120938,2.241876,3.362814,4.483751,2
0,skm,5.885000,130,3.153921,0.512710,2.641210,2.897565,3.153921,3.410276,3.666631,2
0,skm,5.885000,131,2.124987,2.124987,0.000000,1.062494,2.124987,3.187481,4.249974,2
0,skm,5.885000,132,2.942790,0.470565,2.586074,2.690820,2.690897,2.881819,3.864340,5
0,skm,5.885000,133,4.976142,1.523684,3.081737,3.608294,4.641240,5.474058,7.526360,9
0,skm,5.885000,134,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,135,3.225462,0.681415,2.472330,2.605582,3.131617,3.581052,4.336731,5
0,skm,5.885000,136,4.589736,0.903196,3.448361,4.056102,4.663843,5.160423,5.657003,3
0,skm,5.885000,137,2.673671,0.000000,2.673671,2.673671,2.673671,2.673671,2.673671,2
0,skm,5.885000,138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,140,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,141,3.874887,0.551875,3.266762,3.398167,3.796653,4.273373,4.639480,4
0,skm,5.885000,142,4.540120,1.199564,3.240813,3.606897,4.339811,4.852055,6.661026,5
0,skm,5.885000,143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,144,4.565669,0.548216,4.112510,4.179984,4.247458,4.792248,5.337038,3
0,skm,5.885000,145,4.360831,0.000000,4.360831,4.360831,4.360831,4.360831,4.360831,2
0,skm,5.885000,146,3.866699,0.436014,3.232618,3.687226,3.886678,4.066150,4.460823,4
0,skm,5.885000,147,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,148,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,150,3.791216,0.000000,3.791216,3.791216,3.791216,3.791216,3.791216,2
0,skm,5.885000,151,3.463499,0.328498,3.101579,3.246897,3.392215,3.644459,3.896703,3
0,skm,5.885000,152,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,153,4.461711,0.421637,3.878526,4.262090,4.645653,4.753303,4.860952,3
0,skm,5.885000,154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,157,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,158,3.029471,0.000000,3.029471,3.029471,3.029471,3.029471,3.029471,2
0,skm,5.885000,159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,165,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,168,1.323053,0.000000,1.323053,1.323053,1.323053,1.323053,1.323053,2
0,skm,5.885000,169,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,170,0.334776,0.000000,0.334776,0.334776,0.334776,0.334776,0.334776,2
0,skm,5.885000,171,0.094590,0.000000,0.094590,0.094590,0.094590,0.094590,0.094590,2
0,skm,5.885000,172,2.217095,0.000000,2.217095,2.217095,2.217095,2.217095,2.217095,2
0,skm,5.885000,173,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
0,skm,5.885000,174,0.836784,0.089707,0.612533,0.772773,0.825349,0.907524,1.074966,559
0,skm,5.885000,175,0.669055,0.098559,0.454385,0.584969,0.649924,0.746535,0.938192,1148
0,bskm,6.141000,0,3.389131,1.595236,0.834702,1.884659,3.317610,4.818679,6.256245,1605
0,bskm,6.141000,1,1.511146,0.866710,0.435029,0.729552,1.316309,2.273976,3.264460,3543
0,bskm,6.141000,2,21.908165,13.141151,3.360957,9.503438,23.789882,31.032618,48.365145,23
0,bskm,6.141000,3,19.243351,5.578057,8.935381,19.400723,19.841620,22.732429,25.306600,5
0,bskm,6.141000,4,13.785425,7.683894,2.434858,7.218730,14.380410,18.526204,28.357197,74
0,bskm,6.141000,5,5.090391,2.822050,1.447364,1.981180,4.532796,7.414426,10.340290,161
